"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78","Post note when no X-AUTH-TOKEN present","chromium","Wed Jul 09 00:16:05 GMT 2025","passed","Wed Jul 09 00:16:05 GMT 2025","API challenge","api.spec.js","",""
"","82","Extra","chromium","Wed Jul 09 00:16:03 GMT 2025","passed","Wed Jul 09 00:16:03 GMT 2025","API challenge","api.spec.js","",""
"","92","Content too long","chromium","Wed Jul 09 00:16:03 GMT 2025","passed","Wed Jul 09 00:16:03 GMT 2025","API challenge","api.spec.js","",""
"","83","Title too long","chromium","Wed Jul 09 00:16:02 GMT 2025","passed","Wed Jul 09 00:16:02 GMT 2025","API challenge","api.spec.js","",""
"","160","02 First Real Challenge","chromium","Wed Jul 09 00:16:00 GMT 2025","passed","Wed Jul 09 00:16:01 GMT 2025","API challenge","api.spec.js","",""
"","80","Return ANY response","chromium","Wed Jul 09 00:16:04 GMT 2025","passed","Wed Jul 09 00:16:04 GMT 2025","API challenge","api.spec.js","",""
"","5807","Changing currency should not freeze the page","chromium","Wed Jul 09 00:16:19 GMT 2025","passed","Wed Jul 09 00:16:25 GMT 2025","Карточка товара","store.spec.js","",""
"","8609","Password retrieval does not work on AcademyBugs","chromium","Wed Jul 09 00:16:10 GMT 2025","passed","Wed Jul 09 00:16:19 GMT 2025","Аккаунт","forgotPassword.spec.js","",""
"","373","Valid Basic Auth","chromium","Wed Jul 09 00:16:05 GMT 2025","passed","Wed Jul 09 00:16:05 GMT 2025","API challenge","api.spec.js","",""
"","2801","Page freezes when selecting number of results to display","chromium","Wed Jul 09 00:16:06 GMT 2025","passed","Wed Jul 09 00:16:09 GMT 2025","Каталог товаров","findbugs.spec.js","",""
"","83","Unsuccessfully create a todo","chromium","Wed Jul 09 00:16:03 GMT 2025","passed","Wed Jul 09 00:16:03 GMT 2025","API challenge","api.spec.js","",""
"","371","Invalid Basic Auth","chromium","Wed Jul 09 00:16:04 GMT 2025","passed","Wed Jul 09 00:16:05 GMT 2025","API challenge","api.spec.js","",""
"","315","Create a todo","chromium","Wed Jul 09 00:16:02 GMT 2025","passed","Wed Jul 09 00:16:02 GMT 2025","API challenge","api.spec.js","",""
"","82","Successfully update a todo","chromium","Wed Jul 09 00:16:03 GMT 2025","passed","Wed Jul 09 00:16:03 GMT 2025","API challenge","api.spec.js","",""
"","84","Create a todo using Content-Type `application/xml`","chromium","Wed Jul 09 00:16:04 GMT 2025","passed","Wed Jul 09 00:16:04 GMT 2025","API challenge","api.spec.js","",""
"","82","Successfully delete a todo","chromium","Wed Jul 09 00:16:03 GMT 2025","passed","Wed Jul 09 00:16:03 GMT 2025","API challenge","api.spec.js","",""
"","81","Return JSON response","chromium","Wed Jul 09 00:16:04 GMT 2025","passed","Wed Jul 09 00:16:04 GMT 2025","API challenge","api.spec.js","",""
"","81","Get a specific todo","chromium","Wed Jul 09 00:16:02 GMT 2025","passed","Wed Jul 09 00:16:02 GMT 2025","API challenge","api.spec.js","",""
"","78","X-AUTH-TOKEN no presents","chromium","Wed Jul 09 00:16:05 GMT 2025","passed","Wed Jul 09 00:16:05 GMT 2025","API challenge","api.spec.js","",""
"","87","Validation on the `doneStatus` field","chromium","Wed Jul 09 00:16:02 GMT 2025","passed","Wed Jul 09 00:16:02 GMT 2025","API challenge","api.spec.js","",""
"","3892","Manufacturer link should not lead to error page","chromium","Wed Jul 09 00:16:25 GMT 2025","passed","Wed Jul 09 00:16:29 GMT 2025","Карточка товара","store.spec.js","",""
"","81","Unsupported content type","chromium","Wed Jul 09 00:16:04 GMT 2025","passed","Wed Jul 09 00:16:04 GMT 2025","API challenge","api.spec.js","",""
"","82","Update todo with no amend id","chromium","Wed Jul 09 00:16:03 GMT 2025","passed","Wed Jul 09 00:16:03 GMT 2025","API challenge","api.spec.js","",""
"","3059","Comment form should not freeze the page on submission","chromium","Wed Jul 09 00:16:29 GMT 2025","passed","Wed Jul 09 00:16:32 GMT 2025","Карточка товара","store.spec.js","",""
"","82","No `Accept` header","chromium","Wed Jul 09 00:16:04 GMT 2025","passed","Wed Jul 09 00:16:04 GMT 2025","API challenge","api.spec.js","",""
"","81","Update an existing todo partially","chromium","Wed Jul 09 00:16:03 GMT 2025","passed","Wed Jul 09 00:16:03 GMT 2025","API challenge","api.spec.js","",""
"","83","Max out content","chromium","Wed Jul 09 00:16:02 GMT 2025","passed","Wed Jul 09 00:16:03 GMT 2025","API challenge","api.spec.js","",""
"","82","Create a todo using Content-Type `application/json`","chromium","Wed Jul 09 00:16:04 GMT 2025","passed","Wed Jul 09 00:16:04 GMT 2025","API challenge","api.spec.js","",""
"","86","Description too long","chromium","Wed Jul 09 00:16:02 GMT 2025","passed","Wed Jul 09 00:16:02 GMT 2025","API challenge","api.spec.js","",""
"","77","Post note when invalid X-AUTH-TOKEN","chromium","Wed Jul 09 00:16:05 GMT 2025","passed","Wed Jul 09 00:16:05 GMT 2025","API challenge","api.spec.js","",""
"","80","Check the 'Allow' header","chromium","Wed Jul 09 00:16:03 GMT 2025","passed","Wed Jul 09 00:16:03 GMT 2025","API challenge","api.spec.js","",""
"","83","Update an existing todo","chromium","Wed Jul 09 00:16:03 GMT 2025","passed","Wed Jul 09 00:16:03 GMT 2025","API challenge","api.spec.js","",""
"","82","Return XML response","chromium","Wed Jul 09 00:16:03 GMT 2025","passed","Wed Jul 09 00:16:04 GMT 2025","API challenge","api.spec.js","",""
"","82","Post note with valid Bearer token","chromium","Wed Jul 09 00:16:06 GMT 2025","passed","Wed Jul 09 00:16:06 GMT 2025","API challenge","api.spec.js","",""
"","82","Todo does not exist","chromium","Wed Jul 09 00:16:03 GMT 2025","passed","Wed Jul 09 00:16:03 GMT 2025","API challenge","api.spec.js","",""
"","79","Post note with valid auth token","chromium","Wed Jul 09 00:16:05 GMT 2025","passed","Wed Jul 09 00:16:05 GMT 2025","API challenge","api.spec.js","",""
"","84","Get all todos","chromium","Wed Jul 09 00:16:01 GMT 2025","passed","Wed Jul 09 00:16:02 GMT 2025","API challenge","api.spec.js","",""
"","84","XML pref","chromium","Wed Jul 09 00:16:04 GMT 2025","passed","Wed Jul 09 00:16:04 GMT 2025","API challenge","api.spec.js","",""
"","82","Invalid Accept Header","chromium","Wed Jul 09 00:16:04 GMT 2025","passed","Wed Jul 09 00:16:04 GMT 2025","API challenge","api.spec.js","",""
